imdb_votes,tmdb_popularity
620,80.049
2088,4.902
413,4.206
4075,112.622
43,1.676
1472,4.911
84302,45.54
306,0.6
21368,42.802
8374,19.518
2322,2.135
194,2.274
160806,30.97
1627,5.545
3596,10.639
2491,2.594
11561,16.218
440,13.259
25639,20.273
394,75.943
426,1.514
2214,20.153
2630,4.393
1302,6.71
91043,10.969
86,1.066
768,3.984
13446,11.922
1130,34.405
34009,11.885
491,2.321
328,2.675
50431,7.287
18023,24.964
335,5.414
27516,10.581
404,1.312
245,1.77
422,1.833
267,1.256
1030,6.77
4483,7.65
1696,19.324
8831,12.859
2393,140.949
51781,32.877
192132,55.868
382,4.222
91162,19.448
443,0.62
274,3.384
36050,34.434
1010,7.032
806,5.053
2625,6.233
411,2.466
33,1.633
46,2.199
56,1.382
209,1.772
1873,6.843
19091,23.196
2019,44.455
351,172.609
937,8.82
2934,11.041
3907,14.761
2576,22.261
366,5.084
312,1.481
7890,9.346
212,1.688
195,2.355
132,4.436
126,1.968
12468,5.145
1444,66.94
6194,18.162
1324,12.572
54,1.776
2259,52.16
772,16.844
865,12.942
12568,40.567
37995,81.023
69,4.603
461,3.878
5622,43.655
929,9.731
11281,11.325
34661,63.934
3032,13.318
8185,1.4
25239,22.242
7215,9.525
74672,110.15
58277,93.542
1706,25.413
10317,21.662
10749,16.453
1514,11.091
166,1.678
245,1.418
250,1.171
78039,12.24
2196,11.455
169,16.078
1532,27.69
57,1.179
5411,4.247
10748,62.323
1682,37.39
2608,2.821
259,2.487
950,4.483
139797,50.649
114505,63.749
592,5.162
229,5.626
201,33.708
9819,52.678
155,2.447
39,0.966
368,3.458
278,2.506
20300,21.558
1759,25.697
3147,71.713
149,1.572
2242,12.663
10834,10.605
2061,2.038
17871,15.383
421,8.639
704,18.976
72,5.268
5985,829.005
4787,3.791
4600,6.841
61878,61.598
4168,3.297
11264,13.564
592,9.752
7206,67.856
703,3.04
3633,2.712
2135,5.828
108,0.709
5468,4.912
710,1.855
9651,27.516
211,1.4
605,2.197
94,1.595
4349,10.672
5501,8.386
1016,23.8
4813,3.854
368,175.354
993,24.628
3538,34.934
280121,18.358
1573,6.86
29804,17.152
36661,40.216
1994599,57.114
949,3.213
1145,17.877
144656,28.154
789,4.626
2913,72.715
70860,20.986
900,4.697
2287,8.306
110,2.082
302,21.875
221,16.661
344,0.86
6029,9.626
855,3.109
